Complaint number,Complaint filed against,Complaint filed by,Reason complaint filed,Confirmed complaint,How resolved,Received date,Closed date,Complaint type,Coverage type,Coverage level,Others involved,Respondent ID,Respondent Role,Respondent type,Complainant type,Keywords
64688,State Farm Lloyds,Insured,Refund Of Premium,Yes,Contract Language/Legal Issue; Additional Monies Received; Information Furnished,5/28/2014,12/9/2014,Property and Casualty,Homeowners,Homeowners,,3105,Ins Co - Licensed/Active,Organization,INDV,UNDERWRITING CRITERIA
65110,State Farm Lloyds,Insured,Refund Of Premium,Yes,Additional Monies Received; Premium Refunded,6/3/2014,9/22/2014,Property and Casualty,Homeowners,Homeowners,Associated Agent; Associated Subject Company; Insured,3105,Ins Co - Licensed/Active,Organization,INDV,UNDERWRITING CRITERIA
65155,State Farm Lloyds,Insured,Cust Service Claim Handling; Unsatisfactory Settle/Offer,No,Company Position Upheld; Question of Fact; Contract Language/Legal Issue,6/2/2014,7/9/2014,Property and Casualty,Homeowners,Homeowners,Associated Subject Company; Associated Subject Person,3105,Ins Co - Licensed/Active,Organization,INDV,ADJUSTER'S HANDLING; DAMAGE DISPUTE; GR-Claim Evaluation; POLICY EXCLUSION; WATER DAMAGE
65207,State Farm Lloyds,Third Party,Denial Of Claim,No,Contract Language/Legal Issue; Question of Fact,6/3/2014,7/30/2014,Property and Casualty,Liability,General Liability,Associated Subject Company; Associated Subject Person; Third Party Admin-Non Licensed,3105,Ins Co - Licensed/Active,Organization,INDV,WATER DAMAGE
65287,State Farm Lloyds,Insured,Delays (Policyholder Service); Other,Yes,Question of Fact; Other,6/2/2014,7/7/2014,Property and Casualty,Homeowners,Homeowners,Associated Agent; Associated Subject Person,3105,Ins Co - Licensed/Active,Organization,INDV,ADJUSTER'S HANDLING; GR-Claim Evaluation; HAIL; ROOF; SUPPLEMENTARY PAYMENT; UNDERWRITING CRITERIA
65293,State Farm Lloyds,Insured,Refund Of Premium,No,Information Furnished,6/3/2014,7/18/2014,Property and Casualty,Homeowners,Homeowners,,3105,Ins Co - Licensed/Active,Organization,INDV,UNDERWRITING CRITERIA
65449,State Farm Lloyds,Insured,Delays (Policyholder Service); Refund Of Premium,Yes,Additional Monies Received; Information Furnished,6/9/2014,12/10/2014,Property and Casualty,Homeowners,Homeowners,Associated Subject Company; Insured,3105,Ins Co - Licensed/Active,Organization,INDV,
65460,State Farm Lloyds,Consumer (Non-Insured),Cust Service Claim Handling; Delays (Claims Handling),Yes,Information Furnished,6/4/2014,7/22/2014,Property and Casualty,Homeowners,Homeowners,Insured,3105,Ins Co - Licensed/Active,Organization,INDV,ADJUSTER'S HANDLING
65549,State Farm Lloyds,Insured,Refund Of Premium,No,Information Furnished,6/4/2014,7/18/2014,Property and Casualty,Homeowners,Homeowners,,3105,Ins Co - Licensed/Active,Organization,INDV,
65606,State Farm Lloyds,Insured,Refund Of Premium,Yes,Information Furnished; Premium Refunded,6/5/2014,10/7/2014,Property and Casualty,Homeowners,Homeowners,Associated Agent,3105,Ins Co - Licensed/Active,Organization,INDV,
65949,State Farm Lloyds,Insured,Delays (Policyholder Service); Refund Of Premium,No,Premium Refunded; Additional Monies Received,6/12/2014,8/11/2014,Property and Casualty,Homeowners,Homeowners,,3105,Ins Co - Licensed/Active,Organization,INDV,UNDERWRITING CRITERIA
66056,State Farm Lloyds,Insured,Delays (Claims Handling),No,Additional Monies Received; Contract Language/Legal Issue,6/10/2014,7/21/2014,Property and Casualty,Homeowners,Rental,Associated Subject Company; Associated Subject Person,3105,Ins Co - Licensed/Active,Organization,INDV,ADJUSTER'S HANDLING; GR-Claim Evaluation; SUPPLEMENTARY PAYMENT
66064,State Farm Lloyds,Insured,Non-Renewal; Other,No,Non-Renewal Rescinded,6/9/2014,7/16/2014,Property and Casualty,Homeowners,Homeowners,,3105,Ins Co - Licensed/Active,Organization,INDV,HAIL; ROOF; UNDERWRITING CRITERIA
66140,State Farm Lloyds,Insured,Cancellation,No,Company Position Upheld,6/11/2014,3/4/2015,Property and Casualty,Homeowners,Homeowners,,3105,Ins Co - Licensed/Active,Organization,INDV,UNDERWRITING CRITERIA
66321,State Farm Lloyds,Attorney,Unsatisfactory Settle/Offer,No,Additional Monies Received; Information Furnished; Question of Fact,6/20/2014,7/25/2014,Property and Casualty,Homeowners,Homeowners,Associated Subject Agency; GR Elected Official; Insured,3105,Ins Co - Licensed/Active,Organization,ORG,GR-Claim Evaluation; HAIL; OVERHEAD AND PROFIT; ROOF
66417,State Farm Lloyds,Insured,Cust Service Claim Handling; Unsatisfactory Settle/Offer,Yes,Question of Fact; Contract Language/Legal Issue,6/16/2014,8/1/2014,Property and Casualty,Homeowners,Homeowners,,3105,Ins Co - Licensed/Active,Organization,INDV,
66600,State Farm Lloyds,Insured,Denial Of Claim,No,Contract Language/Legal Issue; Information Furnished,6/20/2014,8/29/2014,Property and Casualty,Liability,Umbrella,Associated Subject Person,3105,Ins Co - Licensed/Active,Organization,INDV,
66781,State Farm Lloyds,Insured,Premium and Rating,No,Information Furnished,6/18/2014,8/14/2014,Property and Casualty,Homeowners,Homeowners,,3105,Ins Co - Licensed/Active,Organization,INDV,
66815,State Farm Lloyds,Insured,Other,No,Company Position Upheld; Other,6/18/2014,8/3/2014,Property and Casualty,Homeowners,Homeowners,,3105,Ins Co - Licensed/Active,Organization,INDV,GR-Claim Evaluation; UNDERWRITING CRITERIA
66893,State Farm Lloyds,Insured,Refund Of Premium,No,Additional Monies Received; Premium Refunded,6/17/2014,8/26/2014,Property and Casualty,Homeowners,Homeowners,,3105,Ins Co - Licensed/Active,Organization,INDV,
66984,State Farm Lloyds,Insured,Cust Service Claim Handling; Delays (Claims Handling),No,Contract Language/Legal Issue; Question of Fact; Information Furnished,6/19/2014,8/11/2014,Property and Casualty,Homeowners,Homeowners,Associated Subject Person,3105,Ins Co - Licensed/Active,Organization,INDV,ADJUSTER'S HANDLING; BURDEN OF PROOF
66989,State Farm Lloyds,Insured,Denial Of Claim,No,Question of Fact; Contract Language/Legal Issue; Information Furnished,6/19/2014,8/5/2014,Property and Casualty,Homeowners,Homeowners,,3105,Ins Co - Licensed/Active,Organization,INDV,ADJUSTER'S HANDLING; BURDEN OF PROOF; DAMAGE DISPUTE; HAIL; ROOF; WATER DAMAGE
66998,State Farm Lloyds,Other,Denial Of Claim,No,Information Furnished,6/19/2014,10/7/2014,Property and Casualty,Homeowners,Homeowners,Associated Subject Person; Correspondent Person; Insured,3105,Ins Co - Licensed/Active,Organization,ORG,ADJUSTER'S HANDLING; OVERHEAD AND PROFIT
67169,State Farm Lloyds,Insured,Unsatisfactory Settle/Offer,Yes,Additional Payment Expected; Information Furnished,6/23/2014,7/31/2014,Property and Casualty,Homeowners,Homeowners,Associated Subject Person,3105,Ins Co - Licensed/Active,Organization,INDV,ADJUSTER'S HANDLING; OVERHEAD AND PROFIT; ROOF
67507,State Farm Lloyds,Insured,Delays (Policyholder Service),No,Question of Fact,6/25/2014,8/8/2014,Property and Casualty,Homeowners,Homeowners,,3105,Ins Co - Licensed/Active,Organization,INDV,
67539,State Farm Lloyds,Insured,Unsatisfactory Settle/Offer,No,Contract Language/Legal Issue; Question of Fact,6/25/2014,8/27/2014,Property and Casualty,Homeowners,Homeowners,,3105,Ins Co - Licensed/Active,Organization,INDV,ADJUSTER'S HANDLING; HAIL; ROOF; SENIOR CITIZEN
67637,State Farm Lloyds,Insured,Denial Of Claim,No,Information Furnished; Additional Payment Expected,6/27/2014,8/27/2014,Property and Casualty,Homeowners,Homeowners,Associated Agent; Associated Subject Agency; Associated Subject Person,3105,Ins Co - Licensed/Active,Organization,INDV,ADJUSTER'S HANDLING; HAIL
68034,State Farm Lloyds,Insured,Unsatisfactory Settle/Offer,No,Information Furnished,6/30/2014,9/17/2014,Property and Casualty,Homeowners,Rental,Associated Subject Company; Associated Subject Person; Insured Company,3105,Ins Co - Licensed/Active,Organization,INDV,
68271,State Farm Lloyds,Insured,Non-Renewal,Yes,Information Furnished; Cancel/Non-Renewal Upheld,7/1/2014,8/19/2014,Property and Casualty,Homeowners,Homeowners,Associated Agent; Insured,3105,Ins Co - Licensed/Active,Organization,INDV,ROOF; UNDERWRITING CRITERIA
68279,State Farm Lloyds,Insured,Refund Of Premium,Yes,Additional Monies Received; Information Furnished; Corrective Action Taken,7/3/2014,9/18/2014,Property and Casualty,Homeowners,Homeowners,,3105,Ins Co - Licensed/Active,Organization,INDV,
68287,State Farm Lloyds,Insured,Non-Renewal,No,Non-Renewal Rescinded; Information Furnished,7/2/2014,8/9/2014,Property and Casualty,Homeowners,Homeowners,,3105,Ins Co - Licensed/Active,Organization,INDV,ROOF; UNDERWRITING CRITERIA
68392,State Farm Lloyds,Insured,Refund Of Premium,Yes,Information Furnished; Premium Refunded,7/7/2014,8/16/2014,Property and Casualty,Homeowners,Rental,,3105,Ins Co - Licensed/Active,Organization,INDV,UNDERWRITING CRITERIA
68427,State Farm Lloyds,Relative,Non-Renewal,No,Information Furnished; Cancel/Non-Renewal Upheld,6/30/2014,8/4/2014,Property and Casualty,Homeowners,Homeowners,Associated Agent; Insured,3105,Ins Co - Licensed/Active,Organization,INDV,
68519,State Farm Lloyds,Other,Unsatisfactory Settle/Offer,No,Information Furnished; Question of Fact,7/7/2014,8/10/2014,Property and Casualty,Homeowners,Homeowners,Insured,3105,Ins Co - Licensed/Active,Organization,ORG,OVERHEAD AND PROFIT
68635,State Farm Lloyds,Insured,Premium and Rating,No,Information Furnished; Company Position Upheld,7/7/2014,8/17/2014,Property and Casualty,Homeowners,Homeowners,Deceased Person,3105,Ins Co - Licensed/Active,Organization,INDV,UNDERWRITING CRITERIA
68730,State Farm Lloyds,Insured,Cust Service Claim Handling,Yes,Information Furnished; Additional Monies Received,7/7/2014,8/25/2014,Property and Casualty,Homeowners,Homeowners,Associated Agent; Associated Subject Person,3105,Ins Co - Licensed/Active,Organization,INDV,ADJUSTER'S HANDLING; DAMAGE DISPUTE; GR-Claim Evaluation
68756,State Farm Lloyds,Insured,Premium and Rating,No,Information Furnished,7/9/2014,8/21/2014,Property and Casualty,Homeowners,Homeowners,,3105,Ins Co - Licensed/Active,Organization,INDV,UNDERWRITING CRITERIA
69073,State Farm Lloyds,Consumer (Non-Insured),Unsatisfactory Settle/Offer,No,Additional Monies Received; Question of Fact; Information Furnished,7/11/2014,8/26/2014,Property and Casualty,Homeowners,Homeowners,Correspondent Person; Insured,3105,Ins Co - Licensed/Active,Organization,ORG,ADJUSTER'S HANDLING; GR-Claim Evaluation; OVERHEAD AND PROFIT
69100,State Farm Lloyds,Insured,Cancellation; Delays (Underwriting),No,Company Position Upheld; Information Furnished,7/11/2014,8/18/2014,Property and Casualty,Homeowners,Homeowners,Associated Agent; Correspondent Person,3105,Ins Co - Licensed/Active,Organization,INDV,UNDERWRITING CRITERIA
69446,State Farm Lloyds,Insured,Cust Service Claim Handling; Delays (Claims Handling); Unsatisfactory Settle/Offer,No,Information Furnished; Question of Fact,7/15/2014,10/23/2014,Property and Casualty,Homeowners,Homeowners,Associated Subject Company; Associated Subject Person,3105,Ins Co - Licensed/Active,Organization,INDV,ADJUSTER'S HANDLING; BURDEN OF PROOF; DAMAGE DISPUTE; GR-Claim Evaluation; HAIL; OVERHEAD AND PROFIT; ROOF; SUPPLEMENTARY PAYMENT
69606,State Farm Lloyds,Insured,Denial Of Claim,Yes,Information Furnished; Contract Language/Legal Issue; Additional Monies Received,7/17/2014,9/9/2014,Property and Casualty,Homeowners,Homeowners,Associated Agent; Associated Subject Person,3105,Ins Co - Licensed/Active,Organization,INDV,ADJUSTER'S HANDLING
69785,State Farm Lloyds,Insured,Unsatisfactory Settle/Offer,Yes,Contract Language/Legal Issue; Information Furnished,7/18/2014,8/25/2014,Property and Casualty,Homeowners,Homeowners,,3105,Ins Co - Licensed/Active,Organization,INDV,DEPRECIATION; HAIL; ROOF
69809,State Farm Lloyds,Consumer (Non-Insured),Other,No,Information Furnished,7/18/2014,9/3/2014,Property and Casualty,Homeowners,Homeowners,Insured,3105,Ins Co - Licensed/Active,Organization,INDV,ADJUSTER'S HANDLING; UNDERWRITING CRITERIA
69811,State Farm Lloyds,Insured,Denial Of Claim,No,Contract Language/Legal Issue,7/18/2014,9/3/2014,Property and Casualty,Homeowners,Rental,,3105,Ins Co - Licensed/Active,Organization,INDV,COVERAGE DISPUTE
70281,State Farm Lloyds,Insured,Non-Renewal,No,Contract Language/Legal Issue; Information Furnished,7/23/2014,9/29/2014,Property and Casualty,Homeowners,Rental,Associated Agent; Associated Subject Agency,3105,Ins Co - Licensed/Active,Organization,INDV,UNDERWRITING CRITERIA
70327,State Farm Lloyds,Insured,Premium and Rating,Yes,Information Furnished,7/24/2014,9/9/2014,Property and Casualty,Homeowners,Homeowners,Associated Agent,3105,Ins Co - Licensed/Active,Organization,INDV,UNDERWRITING CRITERIA
70370,State Farm Lloyds,Insured,Denial Of Claim,Yes,Claim Settled; Additional Monies Received,7/23/2014,9/19/2014,Property and Casualty,Homeowners,Homeowners,Associated Agent; Associated Subject Company; Associated Subject Person,3105,Ins Co - Licensed/Active,Organization,INDV,COVERAGE DISPUTE; GR-Claim Evaluation; WATER DAMAGE
70532,State Farm Lloyds,Relative,Denial Of Claim,No,Contract Language/Legal Issue; Question of Fact,7/24/2014,9/11/2014,Property and Casualty,Homeowners,Homeowners,Associated Subject Person; Insured,3105,Ins Co - Licensed/Active,Organization,INDV,ADJUSTER'S HANDLING; DAMAGE DISPUTE; GR-Claim Evaluation; HAIL; ROOF; SENIOR CITIZEN
70675,State Farm Lloyds,Insured,Unsatisfactory Settle/Offer,Yes,Information Furnished; Additional Monies Received,7/28/2014,9/18/2014,Property and Casualty,Homeowners,Homeowners,Correspondent Person; Insured,3105,Ins Co - Licensed/Active,Organization,INDV,APPRAISAL; DAMAGE DISPUTE; GR-Claim Evaluation; HAIL; OVERHEAD AND PROFIT; ROOF
70873,State Farm Lloyds,Insured,Unsatisfactory Settle/Offer,No,Information Furnished; Additional Monies Received,7/28/2014,9/16/2014,Property and Casualty,Homeowners,Homeowners,Associated Subject Person,3105,Ins Co - Licensed/Active,Organization,INDV,GR-Claim Evaluation
71054,State Farm Lloyds,Insured,Cancellation; Other,Yes,Contract Language/Legal Issue; Company Position Upheld; Policy Issued/Restored,7/29/2014,9/26/2014,Property and Casualty,Homeowners,Homeowners,,3105,Ins Co - Licensed/Active,Organization,INDV,DAMAGE DISPUTE; GR-Claim Evaluation; SENIOR CITIZEN; SUPPLEMENTARY PAYMENT; UNDERWRITING CRITERIA
71094,State Farm Lloyds,Other,Unsatisfactory Settle/Offer,Yes,Additional Monies Received; Information Furnished,7/30/2014,9/26/2014,Property and Casualty,Homeowners,Homeowners,Correspondent Person,3105,Ins Co - Licensed/Active,Organization,ORG,GR-Claim Evaluation; HAIL; OVERHEAD AND PROFIT; ROOF
71232,State Farm Lloyds,Insured,Unsatisfactory Settle/Offer,No,Contract Language/Legal Issue; Information Furnished,7/31/2014,9/23/2014,Property and Casualty,Automobile,Individual Private Pass,Insured,3105,Ins Co - Licensed/Active,Organization,INDV,
71417,State Farm Lloyds,Insured,Denial Of Claim,No,Information Furnished,7/30/2014,10/16/2014,Property and Casualty,Homeowners,Homeowners,Associated Agent,3105,Ins Co - Licensed/Active,Organization,INDV,HAIL; ROOF; WATER DAMAGE
71485,State Farm Lloyds,Insured,Refund Of Premium,Yes,Additional Monies Received; Contract Language/Legal Issue; Information Furnished,8/4/2014,12/10/2014,Property and Casualty,Homeowners,Homeowners,Associated Agent,3105,Ins Co - Licensed/Active,Organization,INDV,
71515,State Farm Lloyds,Insured,Premium and Rating; Refund Of Premium,No,Information Furnished; Company Position Upheld,8/4/2014,10/28/2014,Property and Casualty,Homeowners,Rental,,3105,Ins Co - Licensed/Active,Organization,INDV,UNDERWRITING CRITERIA
71541,State Farm Lloyds,Insured,Refund Of Premium,Yes,Additional Monies Received; Information Furnished; Corrective Action Taken,8/4/2014,10/13/2014,Property and Casualty,Homeowners,Homeowners,,3105,Ins Co - Licensed/Active,Organization,INDV,
71817,State Farm Lloyds,Insured,Cancellation; Delays (Policyholder Service),Yes,Cancellation Withdrawn; Information Furnished,8/6/2014,10/16/2014,Property and Casualty,Homeowners,Homeowners,Associated Agent,3105,Ins Co - Licensed/Active,Organization,INDV,
71887,State Farm Lloyds,Insured,Unsatisfactory Settle/Offer,No,Information Furnished,6/30/2014,8/25/2014,Property and Casualty,Liability,General Liability,Associated Subject Company; Associated Subject Person; Insured Company,3105,Ins Co - Licensed/Active,Organization,INDV,
71910,State Farm Lloyds,Insured,Premium and Rating,No,Information Furnished; Company Position Upheld,8/7/2014,9/24/2014,Property and Casualty,Homeowners,Homeowners,,3105,Ins Co - Licensed/Active,Organization,INDV,UNDERWRITING CRITERIA
71991,State Farm Lloyds,Insured,Premium and Rating; Unsatisfactory Settle/Offer,Yes,Contract Language/Legal Issue; Additional Monies Received; Information Furnished,8/7/2014,9/26/2014,Property and Casualty,Homeowners,Condominium,,3105,Ins Co - Licensed/Active,Organization,INDV,UNDERWRITING CRITERIA
72021,State Farm Lloyds,Consumer (Non-Insured),Other,No,Information Furnished,8/8/2014,10/16/2014,Property and Casualty,Homeowners,Homeowners,,3105,Ins Co - Licensed/Active,Organization,INDV,UNDERWRITING CRITERIA
72022,State Farm Lloyds,Insured,Delays (Underwriting),Yes,Premium Refunded; Information Furnished,8/8/2014,9/30/2014,Property and Casualty,Homeowners,Homeowners,,3105,Ins Co - Licensed/Active,Organization,INDV,UNDERWRITING CRITERIA
72026,State Farm Lloyds,Insured,Delays (Claims Handling),No,Claim Settled; Contract Language/Legal Issue; Additional Monies Received,8/8/2014,9/30/2014,Property and Casualty,Homeowners,Rental,,3105,Ins Co - Licensed/Active,Organization,INDV,GR-Claim Evaluation
72031,State Farm Lloyds,Insured,Denial Of Claim,Yes,Additional Monies Received; Information Furnished,8/8/2014,10/1/2014,Property and Casualty,Homeowners,Homeowners,Associated Agent; Associated Subject Person,3105,Ins Co - Licensed/Active,Organization,INDV,COVERAGE DISPUTE; DAMAGE DISPUTE; DEDUCTIBLE; GR-Claim Evaluation; ROOF; WATER DAMAGE
72065,State Farm Lloyds,Insured,Cust Service Claim Handling; Other,Yes,Information Furnished; Other,8/11/2014,9/29/2014,Property and Casualty,Homeowners,Homeowners,Associated Agent; Associated Subject Person,3105,Ins Co - Licensed/Active,Organization,INDV,ADJUSTER'S HANDLING; ROOF; UNDERWRITING CRITERIA
72100,State Farm Lloyds,Insured,Denial Of Claim,No,Information Furnished; Complainant Retained Attorney; Company Position Upheld,8/11/2014,9/30/2014,Property and Casualty,Homeowners,Rental,Associated Subject Company; Associated Subject Person,3105,Ins Co - Licensed/Active,Organization,INDV,ADJUSTER'S HANDLING; GR-Claim Evaluation; POLICY EXCLUSION
72103,State Farm Mutual Automobile Insurance Company,Insured,Refund Of Premium,No,Company Position Upheld; Information Furnished,8/11/2014,9/29/2014,Property and Casualty,Homeowners,Homeowners,Associated Agent,1510,Ins Co - Licensed/Active,Organization,INDV,UNDERWRITING CRITERIA
72448,State Farm Lloyds,Insured,Denial Of Claim,No,Information Furnished; Company Position Upheld,8/14/2014,9/29/2014,Property and Casualty,Homeowners,Homeowners,Associated Subject Person,3105,Ins Co - Licensed/Active,Organization,INDV,ADJUSTER'S HANDLING; GR-Claim Evaluation; POLICY EXCLUSION; UNDERWRITING CRITERIA; WATER DAMAGE
72515,State Farm Lloyds,Consumer (Non-Insured),Agent Handling; Delays (Policyholder Service); Duplication of Coverage; Other; Refund Of Premium,No,Contract Language/Legal Issue; Question of Fact,8/14/2014,10/31/2014,Property and Casualty,Homeowners,Homeowners,Associated Subject Person,3105,Ins Co - Licensed/Active,Organization,INDV,
72527,State Farm Lloyds,Insured,Unsatisfactory Settle/Offer,No,Company Position Upheld; Information Furnished,8/14/2014,10/29/2014,Property and Casualty,Homeowners,Homeowners,Associated Subject Person,3105,Ins Co - Licensed/Active,Organization,INDV,ADJUSTER'S HANDLING; DAMAGE DISPUTE; GR-Claim Evaluation; UNDERWRITING CRITERIA
72552,State Farm Lloyds,Insured,Premium and Rating,No,Information Furnished,8/15/2014,9/30/2014,Property and Casualty,Homeowners,Homeowners,Associated Agent,3105,Ins Co - Licensed/Active,Organization,INDV,UNDERWRITING CRITERIA
72694,State Farm Lloyds,Insured,Unsatisfactory Settle/Offer,No,Additional Monies Received; Claim Settled; Information Furnished,8/15/2014,12/2/2014,Property and Casualty,Homeowners,Homeowners,Associated Subject Person,3105,Ins Co - Licensed/Active,Organization,INDV,HAIL; ROOF
72701,State Farm Lloyds,Consumer (Non-Insured),Unsatisfactory Settle/Offer,No,Information Furnished,7/31/2014,9/26/2014,Property and Casualty,Homeowners,Homeowners,,3105,Ins Co - Licensed/Active,Organization,ORG,OVERHEAD AND PROFIT
72726,State Farm Mutual Automobile Insurance Company,Insured,Premium and Rating,No,Information Furnished,8/18/2014,12/2/2014,Property and Casualty,Automobile,Individual Private Pass,,1510,Ins Co - Licensed/Active,Organization,INDV,
72735,State Farm Lloyds,Consumer (Non-Insured),Delays (Claims Handling); Unsatisfactory Settle/Offer,Yes,Additional Monies Received; Information Furnished,8/18/2014,10/7/2014,Property and Casualty,Homeowners,Homeowners,Associated Subject Person; Correspondent Person,3105,Ins Co - Licensed/Active,Organization,ORG,ADJUSTER'S HANDLING; GR-Claim Evaluation; UNDERWRITING CRITERIA
72776,State Farm Lloyds,Insured,Denial Of Claim,No,Question of Fact; Contract Language/Legal Issue; Information Furnished,8/18/2014,9/30/2014,Property and Casualty,Homeowners,Homeowners,,3105,Ins Co - Licensed/Active,Organization,INDV,ADJUSTER'S HANDLING; BURDEN OF PROOF; DAMAGE DISPUTE
72929,State Farm Lloyds,Insured,Non-Renewal,No,Information Furnished,8/19/2014,10/9/2014,Property and Casualty,Homeowners,Homeowners,,3105,Ins Co - Licensed/Active,Organization,INDV,WATER DAMAGE
72944,State Farm Lloyds,Insured,Denial Of Claim,No,Information Furnished; Contract Language/Legal Issue; Question of Fact,8/19/2014,10/10/2014,Property and Casualty,Homeowners,Homeowners,,3105,Ins Co - Licensed/Active,Organization,INDV,ADJUSTER'S HANDLING
73001,State Farm Mutual Automobile Insurance Company,Insured,Denial Of Claim,No,Contract Language/Legal Issue,8/20/2014,10/22/2014,Property and Casualty,Automobile,Mobile Owners,,1510,Ins Co - Licensed/Active,Organization,INDV,ADJUSTER'S HANDLING
73266,State Farm Lloyds,Insured,Denial Of Claim,Yes,Claim Settled; Corrective Action Taken; Additional Monies Received,8/25/2014,12/3/2014,Property and Casualty,Homeowners,Homeowners,Associated Agent; Associated Subject Person; Correspondent Company,3105,Ins Co - Licensed/Active,Organization,INDV,ADJUSTER'S HANDLING; HAIL; ROOF
73309,State Farm Lloyds,Insured,Denial Of Claim,No,Contract Language/Legal Issue; Information Furnished; Question of Fact,8/25/2014,12/4/2014,Property and Casualty,Homeowners,Homeowners,,3105,Ins Co - Licensed/Active,Organization,INDV,WATER DAMAGE
73339,State Farm Lloyds,Insured,Premium and Rating,Yes,Information Furnished,8/25/2014,12/8/2014,Property and Casualty,Homeowners,Homeowners,Insured,3105,Ins Co - Licensed/Active,Organization,INDV,
73345,State Farm Lloyds,Insured,Unsatisfactory Settle/Offer,No,Contract Language/Legal Issue; Information Furnished; Question of Fact,8/18/2014,9/30/2014,Property and Casualty,Homeowners,Homeowners,Associated Subject Person,3105,Ins Co - Licensed/Active,Organization,INDV,ADJUSTER'S HANDLING; BURDEN OF PROOF; DAMAGE DISPUTE; HAIL; ROOF; WATER DAMAGE
73372,State Farm Lloyds,Insured,Denial Of Claim,No,Contract Language/Legal Issue; Company Position Upheld,8/25/2014,10/8/2014,Property and Casualty,Homeowners,Homeowners,,3105,Ins Co - Licensed/Active,Organization,INDV,COVERAGE DISPUTE; POLICY EXCLUSION; UNDERWRITING CRITERIA
73439,State Farm Lloyds,Insured,Delays (Claims Handling); Unsatisfactory Settle/Offer,Yes,Additional Monies Received; Question of Fact,8/25/2014,10/8/2014,Property and Casualty,Homeowners,Homeowners,Associated Subject Person,3105,Ins Co - Licensed/Active,Organization,INDV,ADJUSTER'S HANDLING; DAMAGE DISPUTE; GR-Claim Evaluation; OVERHEAD AND PROFIT; ROOF; SUPPLEMENTARY PAYMENT; WATER DAMAGE
73636,State Farm Lloyds,Insured,Cust Service Claim Handling; Delays (Claims Handling); Other; Unsatisfactory Settle/Offer,No,Question of Fact; Contract Language/Legal Issue,8/26/2014,10/23/2014,Property and Casualty,Homeowners,Rental,,3105,Ins Co - Licensed/Active,Organization,INDV,ADJUSTER'S HANDLING; DAMAGE DISPUTE; GR-Claim Evaluation; TOTAL LOSS
